Date & Time,SKU,Name,Brand,Average Rating,Rating Count,Sponsered,Price,Sales Price,Express,Rank,Link
2024-12-21 17:32:38,ZC6C0044F2081F98BB4CFZ,Generic Pilates Yoga Wedge Massage Correction Yoga Foam Kyphosis Correction Detachable Large Spine Yoga Equipment ,Generic,NA,NA,N,NA,299,Y,133,https://www.noon.com/uae-en/pilates-yoga-wedge-massage-correction-yoga-foam-kyphosis-correction-detachable-large-spine-yoga-equipment/ZC6C0044F2081F98BB4CFZ/p/?o=zc6c0044f2081f98bb4cfz-1
2024-12-21 17:32:38,ZA9BFB7369713E4E6A4A8Z,GROIC 5 Pcs Pilates Ring Set Yoga Fitness Magic Circle Pilates Equipment for Home Workouts Fitness kit Includes Burst Resistant Pilates Mini Ball & Highly Elastic Resistance Bands ,GROIC,NA,NA,N, ,80.45,N,128,https://www.noon.com/uae-en/5-pcs-pilates-ring-set-yoga-fitness-magic-circle-pilates-equipment-for-home-workouts-fitness-kit-includes-burst-resistant-pilates-mini-ball-highly-elastic-resistance-bands/ZA9BFB7369713E4E6A4A8Z/p/?o=a3cf917d4499993f
2024-12-21 17:32:38,Z9F9959795903122BD6DEZ,PUMA Yoga Training Mat ,PUMA,NA,NA,N, ,139,Y,136,https://www.noon.com/uae-en/yoga-training-mat/Z9F9959795903122BD6DEZ/p/?o=z9f9959795903122bd6dez-1
2024-12-21 17:32:38,Z4247101839A17521A8B9Z,"Spall Yoga Mat Non Slip,Yoga Mat with Strap Included 10mm Thick Exercise Mat Yoga and Many Other Home Workouts ",Spall,5.0,5,N, ,42,N,125,https://www.noon.com/uae-en/yoga-mat-non-slip-yoga-mat-with-strap-included-10mm-thick-exercise-mat-yoga-and-many-other-home-workouts/Z4247101839A17521A8B9Z/p/?o=z4247101839a17521a8b9z-1
2024-12-21 17:32:38,ZA4FB2C673210B38D137AZ,Generic Dancing Shoes Soft Bottom Practice Ballet with Cloth Head Shoes for Girls White Color ,Generic,4.4,18,N,NA,35,N,126,https://www.noon.com/uae-en/dancing-shoes-soft-bottom-practice-ballet-with-cloth-head-shoes-for-girls-white-color/ZA4FB2C673210B38D137AZ/p/?o=za4fb2c673210b38d137az-2
2024-12-21 17:32:38,Z1A0EB1E6C4C1E349C57CZ,RIOXS 2 Pair Sandbag for Leg Weights and Wrist Weights with Adjustable Strap for Fitness Resistance Training Running Training Exercise Gym Running SandBag ,RIOXS,5.0,2,N, ,43.20,N,122,https://www.noon.com/uae-en/2-pair-sandbag-for-leg-weights-and-wrist-weights-with-adjustable-strap-for-fitness-resistance-training-running-training-exercise-gym-running-sandbag/Z1A0EB1E6C4C1E349C57CZ/p/?o=d843439836bf58ba
2024-12-21 17:32:38,ZE4D54B66966654A0570FZ,"GROIC Yoga Mat, Extra Wide 72""x 31.9"" x 0.24"" Pilates Fitness Mats with Alignment Marks, Non Slip Fitness Yoga Mats, Exercise Mats for Yoga Pilates Home Floor Workout with Carrying Sling and Storage Bag ",GROIC,NA,NA,N, ,112.95,Y,123,https://www.noon.com/uae-en/yoga-mat-extra-wide-72-x-31-9-x-0-24-pilates-fitness-mats-with-alignment-marks-non-slip-fitness-yoga-mats-exercise-mats-for-yoga-pilates-home-floor-workout-with-carrying-sling-and-storage-bag/ZE4D54B66966654A0570FZ/p/?o=ze4d54b66966654a0570fz-1
2024-12-21 17:32:38,N43426712A,Generic Back Massager Stretcher 40x25x3cm ,Generic,3.6,101,N, ,14,Y,124,https://www.noon.com/uae-en/back-massager-stretcher-40x25x3cm/N43426712A/p/?o=fd12b7059f979fdd
2024-12-21 17:32:38,Z68802DAE7D5FCFB63AB8Z,joyzzz Yoga fitness mat floor high quality environmentally friendly TPE waterproof gym home mat sports mat for sports ,joyzzz,NA,NA,N,NA,120,Y,121,https://www.noon.com/uae-en/yoga-fitness-mat-floor-high-quality-environmentally-friendly-tpe-waterproof-gym-home-mat-sports-mat-for-sports/Z68802DAE7D5FCFB63AB8Z/p/?o=z68802dae7d5fcfb63ab8z-1
2024-12-21 17:32:38,ZD0F9EADF94C847916735Z,"Generic Pilates Ring, Magic Circle Pilates Ring 35.5CM For Thigh Exercise, Home Pilates Equipment For Women, Pilates Ring Gym Equipment Thigh Master ",Generic,NA,NA,N, ,56.20,Y,120,https://www.noon.com/uae-en/pilates-ring-magic-circle-pilates-ring-35-5cm-for-thigh-exercise-home-pilates-equipment-for-women-pilates-ring-gym-equipment-thigh-master/ZD0F9EADF94C847916735Z/p/?o=zd0f9eadf94c847916735z-1
